word,degree,strength,eigenvector,bridging,pc1,pc2,pc3
(d)ru-hu-ra-tir,3,0.6,0.001348,3.0,-0.0016,-0.0075,0.0002
(d)su-un-ki-ir-ri-ša-ar-ra,2,0.3,0.004137,0.0,-0.0022,-0.0057,-0.002
(d)te-ip-ti,2,0.3,0.001803,2.0,-0.0018,-0.0059,0.0001
(d)u2-pur-ku-ba-ak,6,0.9,0.007898,4.4,-0.0022,-0.0061,-0.0006
(d)u2-pur-ku-ba-ak-me,2,0.3,0.001463,2.0,-0.0027,0.0036,-0.0117
(d)u2-pur-ku-pa-ak,6,1.2,0.013481,2.4,-0.0014,-0.0152,-0.0022
(d)zu-un-ki-ir-ri-ša-ar-ra,3,0.924,0.003156,3.0,-0.0021,-0.0061,0.0001
(d)zu-un-ki-ir-ri-ša-ar-ra-me,2,0.3,0.001472,2.0,-0.0021,-0.0061,0.0001
(d){na-bu}-u2,2,0.3,0.001778,2.0,-0.0016,-0.0056,-0.0025
(d)ša-la,4,0.9,0.007612,2.6667,-0.0029,-0.0054,-0.0023
(d)ša-la-me,2,0.3,0.003535,0.0,-0.002,-0.0029,-0.0011
(d)ši-ia-šu-um,3,0.6,0.007873,0.0,-0.002,-0.0059,-0.0017
(d)ši-mut,5,1.8574,0.021887,0.0,-0.0028,-0.0049,-0.0019
(f)na-pir2-a-su,2,0.3,0.001494,2.0,-0.0044,0.0586,0.1392
(f)na-pír-a-su,2,0.3,0.001494,2.0,-0.0044,0.0586,0.1392
(husa)tukul-har-sag,2,0.3,0.002229,2.0,-0.0019,-0.004,-0.0003
(m)hu-ban-nu-me-na-ki,3,0.6,0.003588,3.0,-0.0022,-0.0115,-0.0012
(m)hu-ban-um-me-na-ki,2,0.6,0.004466,2.0,-0.0032,-0.0018,-0.0098
(m)ki-,2,0.3,0.000853,0.0,0.0003,-0.0043,-0.0017
(m)un-t[aš]-dingir-gal,2,0.3,0.002447,2.0,-0.0018,-0.0049,0.0005
(m)un-taš-dingir-gal,9,22.65,0.166497,9.0,-0.0128,-0.0229,-0.0101
(m)un-taš-dingir-gal-ki,3,0.6,0.001633,3.0,-0.0044,0.0586,0.1392
(m)un-taš-dingir-gal-me,3,0.6,0.000157,3.0,-0.0059,0.0565,0.0709
(md)hu-[um-ban-nu-me-na-gi],2,0.3,0.001355,2.0,-0.0016,-0.0056,-0.0025
(md)hu-ban-nu-me-na-gi,2,1.2,0.008932,2.0,-0.0056,0.0249,0.0366
(md)hu-ban-nu-me-na-ki,2,0.3,0.002233,2.0,-0.0021,-0.0067,0.0021
(md)hu-ban-nu-um-me-en-na-ki,2,0.3,0.002233,2.0,-0.002,-0.0058,-0.0019
(md)hu-ban-um-me-en-na-ki,2,0.6,0.004466,2.0,-0.003,-0.0077,-0.0023
(md)hu-um-[ban-nu-me-na-gi,2,0.3,0.001355,2.0,-0.0011,-0.0084,-0.0001
(md)hu-um-ba-nu-me-na-[ki,2,0.3,0.000971,2.0,-0.0036,-0.0038,0.0012
(md)hu-um-ba-nu-me-na-ki],2,0.3,0.001292,2.0,-0.0021,-0.0035,0.0017
(md)hu-um-ban-nu-me-en-na-ki,2,0.9,0.006699,2.0,-0.0011,-0.0098,-0.0017
(md)hu-um-ban-nu-me-na-gi,3,7.8,0.046649,3.0,-0.0123,-0.012,-0.0175
(md)hu-um-ban-nu-me-na-ki,3,2.4,0.016108,3.0,-0.0055,-0.0109,-0.0056
(md)hu-um-ban-nu-me]-na-gi,2,0.3,0.001355,2.0,0.0001,-0.0068,0.0006
(md)hu-um-ban-um-me-en-na-ki,2,0.3,0.002233,2.0,0.0039,-0.0093,-0.0079
(md)hu-um-ban-um-me-na-gi,2,0.3,0.002233,2.0,-0.0022,-0.0057,-0.002
-me,2,0.3,2.8e-05,2.0,0.0006,-0.0056,-0.0034
1,2,0.3,0.001207,2.0,-0.0017,-0.0073,-0.0004
10,2,0.3,3.3e-05,0.0,-0.0016,-0.0077,-0.0011
10-na,2,0.3,0.00238,0.0,-0.0027,0.0036,-0.0117
DINGIR-GAL,2,0.3,0.00192,0.0,-0.0059,0.0565,0.0709
[(d)in]-šu-uš-na-ak,1,0.3,0.001691,0,-0.0008,-0.0043,-0.0014
[a-ak,4,0.6,0.002368,2.6667,-0.0026,-0.0074,0.0013
[a-gi],2,0.3,7e-06,2.0,0.0053,-0.0104,-0.006
[a-h]a-an,2,0.3,3.3e-05,2.0,0.0006,-0.0056,-0.0034
