source,target,bigram_weight,similarity_weight,total_weight,edge_type
(d)hi-iš-mi-di-ik,(d)ru-hu-ra-tir,0.3,0,0.3,bigram
(m)hu-ban-nu-me-na-ki,ša-ak,0.3,0,0.3,bigram
(md)hu-um-ban-nu-me-na-ki,zu-un-ki-ik,0.3,0,0.3,bigram
(m)un-taš-dingir-gal,si-ia-an,0.3,0,0.3,bigram
(d)in-na-na,be-el-ti,0.3,0,0.3,bigram
(m)hu-ban-um-me-na-ki,ša-ak,0.3,0,0.3,bigram
(m)hu-ban-um-me-na-ki,su-un-ki-ik,0.3,0,0.3,bigram
tu4-[ur],u2-me,0.3,0,0.3,bigram
(d)ši-ia-šu-um,si-ia-an-ku-uk-ra,0.3,0,0.3,bigram
si-ia-an-ku-uk-ra,ul-li-na,0.3,0,0.3,bigram
a-pu-un,ša-ri-ih,0.3,0,0.3,bigram
ap-pa,mu-ši-a,0.3,0,0.3,bigram
hu-uh-tah-ša,um-me,0.3,0,0.3,bigram
hu-uh-tah-ša,u2,0.3,0,0.3,bigram
hu-uh-tah,u2,0.3,0,0.3,bigram
ha-li-ih,hu-uh-tah,0.3,0,0.3,bigram
ha-li-ih,si-a-an-ku-uk,0.3,0,0.3,bigram
si-a-ku-uk,te-ip-ti,0.3,0,0.3,bigram
la-ha-ak-ir-ra,si-a-ku-uk,0.3,0,0.3,bigram
tu4-ni-ih,u2,0.3,0,0.3,bigram
la-ha-ak-ir-ra,si-ia-an-ku-uk,0.3,0,0.3,bigram
li-na,u2,0.3,0,0.3,bigram
im-me,ku-ši-ih-ši-ma,0.3,0,0.3,bigram
ku-ši-ih-ši-ma,u2,0.3,0,0.3,bigram
